function_type, m, n, sparsity, sparsity_pattern, generation_time, TF_setup, tacotensor_init, tacotensor_insert, B_pack, c_pack, t_compile, t_assemble, t_compute, computation_time
my_matmul_func, 500, 500, 0.01, ratio_based, 0.0053391456604, , , , , , , , , 0.0707938671112, 
my_matmul_func, 500, 500, 0.01, n_per_line, 0.0134749412537, , , , , , , , , 0.0705618858337, 
my_matmul_func, 500, 500, 0.03, ratio_based, 0.00545597076416, , , , , , , , , 0.0724711418152, 
my_matmul_func, 500, 500, 0.03, n_per_line, 0.0136089324951, , , , , , , , , 0.0721650123596, 
my_matmul_func, 500, 500, 0.05, ratio_based, 0.00555300712585, , , , , , , , , 0.0751020908356, 
my_matmul_func, 500, 500, 0.05, n_per_line, 0.0138771533966, , , , , , , , , 0.0749080181122, 
my_matmul_func, 500, 500, 0.1, ratio_based, 0.00571703910828, , , , , , , , , 0.0782868862152, 
my_matmul_func, 500, 500, 0.1, n_per_line, 0.0137979984283, , , , , , , , , 0.078861951828, 
my_matmul_func, 500, 500, 0.15, ratio_based, 0.00593090057373, , , , , , , , , 0.0834331512451, 
my_matmul_func, 500, 500, 0.15, n_per_line, 0.0141129493713, , , , , , , , , 0.0833399295807, 
my_matmul_func, 500, 500, 0.2, ratio_based, 0.00613117218018, , , , , , , , , 0.0887129306793, 
my_matmul_func, 500, 500, 0.2, n_per_line, 0.0139520168304, , , , , , , , , 0.0889101028442, 
my_matmul_func, 500, 500, 0.3, ratio_based, 0.00630807876587, , , , , , , , , 0.0968248844147, 
my_matmul_func, 500, 500, 0.3, n_per_line, 0.0141229629517, , , , , , , , , 0.0968708992004, 
my_matmul_func, 500, 500, 0.5, ratio_based, 0.0065438747406, , , , , , , , , 0.115514039993, 
my_matmul_func, 500, 500, 0.5, n_per_line, 0.0147519111633, , , , , , , , , 0.114327192307, 
my_matmul_func, 500, 500, 0.75, ratio_based, 0.006108045578, , , , , , , , , 0.136981010437, 
my_matmul_func, 500, 500, 0.75, n_per_line, 0.0141749382019, , , , , , , , , 0.136608123779, 
my_matmul_func, 500, 500, 1.0, ratio_based, 0.00499796867371, , , , , , , , , 0.159456968307, 
my_matmul_func, 500, 500, 1.0, n_per_line, 0.0123469829559, , , , , , , , , 0.159064054489, 
my_matmul_func, 1000, 1000, 0.01, ratio_based, 0.0177040100098, , , , , , , , , 0.090451002121, 
my_matmul_func, 1000, 1000, 0.01, n_per_line, 0.0374181270599, , , , , , , , , 0.0919649600983, 
my_matmul_func, 1000, 1000, 0.03, ratio_based, 0.0181570053101, , , , , , , , , 0.0975768566132, 
my_matmul_func, 1000, 1000, 0.03, n_per_line, 0.0376029014587, , , , , , , , , 0.0983879566193, 
my_matmul_func, 1000, 1000, 0.05, ratio_based, 0.0184209346771, , , , , , , , , 0.104552984238, 
my_matmul_func, 1000, 1000, 0.05, n_per_line, 0.0382609367371, , , , , , , , , 0.106052875519, 
my_matmul_func, 1000, 1000, 0.1, ratio_based, 0.0191020965576, , , , , , , , , 0.122317075729, 
my_matmul_func, 1000, 1000, 0.1, n_per_line, 0.0386159420013, , , , , , , , , 0.12331700325, 
my_matmul_func, 1000, 1000, 0.15, ratio_based, 0.0196349620819, , , , , , , , , 0.139904022217, 
my_matmul_func, 1000, 1000, 0.15, n_per_line, 0.0390119552612, , , , , , , , , 0.142557144165, 
my_matmul_func, 1000, 1000, 0.2, ratio_based, 0.0202357769012, , , , , , , , , 0.157512187958, 
my_matmul_func, 1000, 1000, 0.2, n_per_line, 0.0401179790497, , , , , , , , , 0.158411026001, 
my_matmul_func, 1000, 1000, 0.3, ratio_based, 0.02117395401, , , , , , , , , 0.194412231445, 
my_matmul_func, 1000, 1000, 0.3, n_per_line, 0.0407960414886, , , , , , , , , 0.194751024246, 
my_matmul_func, 1000, 1000, 0.5, ratio_based, 0.022274017334, , , , , , , , , 0.270724058151, 
my_matmul_func, 1000, 1000, 0.5, n_per_line, 0.0421769618988, , , , , , , , , 0.26881313324, 
my_matmul_func, 1000, 1000, 0.75, ratio_based, 0.0204758644104, , , , , , , , , 0.363527059555, 
my_matmul_func, 1000, 1000, 0.75, n_per_line, 0.0402669906616, , , , , , , , , 0.361000061035, 
my_matmul_func, 1000, 1000, 1.0, ratio_based, 0.0160720348358, , , , , , , , , 0.448719024658, 
my_matmul_func, 1000, 1000, 1.0, n_per_line, 0.0350952148438, , , , , , , , , 0.449348926544, 
my_matmul_func, 2000, 2000, 0.01, ratio_based, 0.0685658454895, , , , , , , , , 0.180427074432, 
my_matmul_func, 2000, 2000, 0.01, n_per_line, 0.121132850647, , , , , , , , , 0.183319091797, 
my_matmul_func, 2000, 2000, 0.03, ratio_based, 0.0704190731049, , , , , , , , , 0.210160970688, 
my_matmul_func, 2000, 2000, 0.03, n_per_line, 0.121187210083, , , , , , , , , 0.211431026459, 
my_matmul_func, 2000, 2000, 0.05, ratio_based, 0.0716519355774, , , , , , , , , 0.238414049149, 
my_matmul_func, 2000, 2000, 0.05, n_per_line, 0.123973846436, , , , , , , , , 0.239319086075, 
my_matmul_func, 2000, 2000, 0.1, ratio_based, 0.0744068622589, , , , , , , , , 0.309643983841, 
my_matmul_func, 2000, 2000, 0.1, n_per_line, 0.125149011612, , , , , , , , , 0.31570315361, 
my_matmul_func, 2000, 2000, 0.15, ratio_based, 0.0768280029297, , , , , , , , , 0.390001058578, 
my_matmul_func, 2000, 2000, 0.15, n_per_line, 0.129617929459, , , , , , , , , 0.385561943054, 
my_matmul_func, 2000, 2000, 0.2, ratio_based, 0.0789949893951, , , , , , , , , 0.459159851074, 
my_matmul_func, 2000, 2000, 0.2, n_per_line, 0.130515813828, , , , , , , , , 0.460115194321, 
my_matmul_func, 2000, 2000, 0.3, ratio_based, 0.0832169055939, , , , , , , , , 0.614368915558, 
my_matmul_func, 2000, 2000, 0.3, n_per_line, 0.134459972382, , , , , , , , , 0.614156007767, 
my_matmul_func, 2000, 2000, 0.5, ratio_based, 0.0874328613281, , , , , , , , , 0.923064947128, 
my_matmul_func, 2000, 2000, 0.5, n_per_line, 0.137593984604, , , , , , , , , 0.921254873276, 
my_matmul_func, 2000, 2000, 0.75, ratio_based, 0.0802481174469, , , , , , , , , 1.3059668541, 
my_matmul_func, 2000, 2000, 0.75, n_per_line, 0.132416009903, , , , , , , , , 1.30223608017, 
my_matmul_func, 2000, 2000, 1.0, ratio_based, 0.0622789859772, , , , , , , , , 1.66893386841, 
my_matmul_func, 2000, 2000, 1.0, n_per_line, 0.111367225647, , , , , , , , , 1.65756082535, 
tf_noop_func, 50, 50, 0.01, ratio_based, 0.000173807144165, , , , , , , , , 0.00602698326111, 
tf_noop_func, 50, 50, 0.01, n_per_line, 0.000801801681519, , , , , , , , , 0.0060920715332, 
tf_noop_func, 50, 50, 0.03, ratio_based, 0.000177145004272, , , , , , , , , 0.00602984428406, 
tf_noop_func, 50, 50, 0.03, n_per_line, 0.000797986984253, , , , , , , , , 0.00600409507751, 
tf_noop_func, 50, 50, 0.05, ratio_based, 0.000176906585693, , , , , , , , , 0.00559616088867, 
tf_noop_func, 50, 50, 0.05, n_per_line, 0.000800132751465, , , , , , , , , 0.00555181503296, 
tf_noop_func, 50, 50, 0.1, ratio_based, 0.00018310546875, , , , , , , , , 0.00589489936829, 
tf_noop_func, 50, 50, 0.1, n_per_line, 0.000802040100098, , , , , , , , , 0.00605607032776, 
tf_noop_func, 50, 50, 0.15, ratio_based, 0.000184059143066, , , , , , , , , 0.00600004196167, 
tf_noop_func, 50, 50, 0.15, n_per_line, 0.000804901123047, , , , , , , , , 0.00601696968079, 
tf_noop_func, 50, 50, 0.2, ratio_based, 0.000185012817383, , , , , , , , , 0.00605702400208, 
tf_noop_func, 50, 50, 0.2, n_per_line, 0.000817060470581, , , , , , , , , 0.00557589530945, 
tf_noop_func, 50, 50, 0.3, ratio_based, 0.000186920166016, , , , , , , , , 0.00609517097473, 
tf_noop_func, 50, 50, 0.3, n_per_line, 0.00080394744873, , , , , , , , , 0.00599789619446, 
tf_noop_func, 50, 50, 0.5, ratio_based, 0.000187158584595, , , , , , , , , 0.00596785545349, 
tf_noop_func, 50, 50, 0.5, n_per_line, 0.000814199447632, , , , , , , , , 0.00566101074219, 
tf_noop_func, 50, 50, 0.75, ratio_based, 0.000184059143066, , , , , , , , , 0.00594210624695, 
tf_noop_func, 50, 50, 0.75, n_per_line, 0.000818014144897, , , , , , , , , 0.00562787055969, 
tf_noop_func, 50, 50, 1.0, ratio_based, 0.000166893005371, , , , , , , , , 0.0060031414032, 
tf_noop_func, 50, 50, 1.0, n_per_line, 0.000725030899048, , , , , , , , , 0.00601196289062, 
tf_noop_func, 100, 100, 0.01, ratio_based, 0.00028920173645, , , , , , , , , 0.00591897964478, 
tf_noop_func, 100, 100, 0.01, n_per_line, 0.00155711174011, , , , , , , , , 0.00631499290466, 
tf_noop_func, 100, 100, 0.03, ratio_based, 0.000294923782349, , , , , , , , , 0.00627899169922, 
tf_noop_func, 100, 100, 0.03, n_per_line, 0.00154685974121, , , , , , , , , 0.0058650970459, 
tf_noop_func, 100, 100, 0.05, ratio_based, 0.000296115875244, , , , , , , , , 0.00619387626648, 
tf_noop_func, 100, 100, 0.05, n_per_line, 0.00150990486145, , , , , , , , , 0.00588393211365, 
tf_noop_func, 100, 100, 0.1, ratio_based, 0.000304937362671, , , , , , , , , 0.00600504875183, 
tf_noop_func, 100, 100, 0.1, n_per_line, 0.00155210494995, , , , , , , , , 0.00631189346313, 
tf_noop_func, 100, 100, 0.15, ratio_based, 0.000307083129883, , , , , , , , , 0.0062210559845, 
tf_noop_func, 100, 100, 0.15, n_per_line, 0.0015709400177, , , , , , , , , 0.00637316703796, 
tf_noop_func, 100, 100, 0.2, ratio_based, 0.000332117080688, , , , , , , , , 0.00598406791687, 
tf_noop_func, 100, 100, 0.2, n_per_line, 0.00155997276306, , , , , , , , , 0.00635695457458, 
tf_noop_func, 100, 100, 0.3, ratio_based, 0.00032901763916, , , , , , , , , 0.00587201118469, 
